name,desc,website,location,employees,raised,angel_url,angel_id
Coursebase,Coursebase is an enterprise SaaS application for managing employee training.,https://angel.co/coursebase,Tokyo,1-10,-,http://coursebase.co,105732
Version One Ventures,version one ventures is a seed fund investing in companies leveraging network effects,https://angel.co/version-one-ventures,Palo Alto,,"$35,000,000",http://www.versionone.vc,106386
Passport,Enterprise applications for urban mobility,https://angel.co/passport,-,51-200,"$58,537,500",http://www.passportinc.com,105263
CrowdHall,Crowdsourced conversations with your favorite people,https://angel.co/crowdhall,Las Vegas,1-10,"$665,000",http://CrowdHall.com,106395
OLSET,OLSET - Personalized Travel Booking,https://angel.co/olset,San Francisco,1-10,"$2,815,000",http://www.olset.com,106081
Highfive,Video & web conferencing you can actually love,https://angel.co/highfive-1,Redwood City,51-200,"$49,500,000",http://highfive.com,108386
Plympton,Digital Publisher and Distributor,https://angel.co/plympton,San Francisco,1-10,"$80,000",http://plympton.com,108489
Partnered,The company-to-company business development network connecting startups and brands,https://angel.co/partnered,San Francisco,1-10,"$1,098,400",http://partnered.com,108524
NodeFly,Node.js Monitoring,https://angel.co/nodefly,Vancouver,-,"$800,000",https://nodefly.com,97051
Tictail,Discover the world's best independent brands,https://angel.co/tictail,Stockholm,51-200,"$34,150,000",http://www.tictail.com,108300
Mango Health,Mobile health company inspiring patients with chronic conditions to lead healthier lives.,https://angel.co/mango-health,San Francisco,11-50,"$8,300,000",http://www.mangohealth.com,112863
Qubell,Adaptive Platform-as-a-Service for the enterprises,https://angel.co/qubell,Menlo Park,11-50,"$2,800,000",http://qubell.com,114143
Bluetrain.io,Cloud CMS for Developers,https://angel.co/bluetrain-io,Cambridge,1-10,"$1,530,000",http://www.bluetrain.io,113802
DeNA,-,https://angel.co/dena,Tokyo,1001-5000,-,http://dena.com/,112869
